company_id,account_id,transaction_date,amount,transaction_type,category,description
1,1,2026-02-02,24161.21,INCOME,Sales,Customer Payment
1,1,2026-02-02,-53553.42,EXPENSE,Inventory,Supplier Invoice
1,1,2026-02-03,26938.54,INCOME,Sales,Customer Payment
1,1,2026-02-04,8422.38,INCOME,Sales,Customer Payment
1,1,2026-02-06,-8567.96,EXPENSE,Operations,Office Supplies
1,1,2026-02-07,-9900.98,EXPENSE,Operations,Office Supplies
1,1,2026-02-09,7964.10,INCOME,Sales,Customer Payment
1,1,2026-02-10,16584.33,INCOME,Sales,Customer Payment
1,1,2026-02-11,28644.00,INCOME,Sales,Customer Payment
1,1,2026-02-12,15603.28,INCOME,Sales,Customer Payment
1,1,2026-02-16,31599.25,INCOME,Sales,Customer Payment
1,1,2026-02-16,-53233.85,EXPENSE,Inventory,Supplier Invoice
1,1,2026-02-17,23970.75,INCOME,Sales,Customer Payment
1,1,2026-02-18,25190.34,INCOME,Sales,Customer Payment
1,1,2026-02-20,28291.59,INCOME,Sales,Customer Payment
1,1,2026-02-21,-5751.41,EXPENSE,Operations,Office Supplies
1,1,2026-02-22,-1757.06,EXPENSE,Operations,Office Supplies
1,1,2026-02-23,9876.13,INCOME,Sales,Customer Payment
1,1,2026-02-24,24732.81,INCOME,Sales,Customer Payment
1,1,2026-02-26,19306.16,INCOME,Sales,Customer Payment
1,1,2026-02-27,13093.51,INCOME,Sales,Customer Payment
1,1,2026-02-27,-1330.18,EXPENSE,Operations,Office Supplies
1,1,2026-02-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-03-01,-50000.00,EXPENSE,Rent,Office Rent
1,1,2026-03-02,11692.02,INCOME,Sales,Customer Payment
1,1,2026-03-02,-73519.49,EXPENSE,Inventory,Supplier Invoice
1,1,2026-03-03,14776.03,INCOME,Sales,Customer Payment
1,1,2026-03-03,-4150.20,EXPENSE,Operations,Office Supplies
1,1,2026-03-04,22168.04,INCOME,Sales,Customer Payment
1,1,2026-03-05,28997.09,INCOME,Sales,Customer Payment
1,1,2026-03-05,-7260.42,EXPENSE,Operations,Office Supplies
1,1,2026-03-06,16788.03,INCOME,Sales,Customer Payment
1,1,2026-03-10,25032.39,INCOME,Sales,Customer Payment
1,1,2026-03-11,19381.55,INCOME,Sales,Customer Payment
1,1,2026-03-12,34445.72,INCOME,Sales,Customer Payment
1,1,2026-03-12,-2534.64,EXPENSE,Operations,Office Supplies
1,1,2026-03-13,-7393.59,EXPENSE,Operations,Office Supplies
1,1,2026-03-16,30599.21,INCOME,Sales,Customer Payment
1,1,2026-03-16,-33223.83,EXPENSE,Inventory,Supplier Invoice
1,1,2026-03-17,34760.65,INCOME,Sales,Customer Payment
1,1,2026-03-17,-3389.14,EXPENSE,Operations,Office Supplies
1,1,2026-03-18,33643.01,INCOME,Sales,Customer Payment
1,1,2026-03-19,11704.77,INCOME,Sales,Customer Payment
1,1,2026-03-21,-9372.44,EXPENSE,Operations,Office Supplies
1,1,2026-03-23,28655.05,INCOME,Sales,Customer Payment
1,1,2026-03-24,16451.14,INCOME,Sales,Customer Payment
